tweet,outcome
makas ayo makan bareng bareng gak makan,tidak berunsur depresi
ga santa ditinggalin ruang direktur masuk ruang takut semenjak direktur gaada takut takut,tidak berunsur depresi
kadang kadang aib udah takdir buka rahasia kaan ungkap rahasia rahasia keluarga bongkar,tidak berunsur depresi
kaya anak gila ga gila biar ga kaya udah gak kantor udah beda bagus,tidak berunsur depresi
ngabisin duit gampang makan belanja mahal ngopi bentar doang habis juta astaga,tidak berunsur depresi
administrasi nama milik kendara ga pake jasa calo selesai jam cewe dandan terimakasih pria mudah,tidak berunsur depresi
cerita udah keluarin beban panggul,tidak berunsur depresi
rindu nonton acara kenyut liat acara ga,tidak berunsur depresi
mabuk jajan keju pas puasa jajan keju kilo abis minggu lebaran parah kilo abis kemarin,tidak berunsur depresi
pas udah nikah iseng nanya suami segitu ngapain juang ngurus hidup gak tau lupa sayang,tidak berunsur depresi
nikah ngerantau orang tua biar mandiri dua suami allah ga kabulin doa ngerasain betapa repot ngurus anak ajar pas nikah,tidak berunsur depresi
akun belah asa sepi wajar sana rame ngerasa paham kaga,tidak berunsur depresi
tipe tongkrong dengerinnya lagu dengerinnya lagu baru,tidak berunsur depresi
hadiah beli kosmetik butuh tau makan enak jalan pikir kerja situasi sehat bahagia fokus,tidak berunsur depresi
juang lelah juang gugur salah,tidak berunsur depresi
takut nilai bagus cuplik pas coba duduk,tidak berunsur depresi
diri laku saat orang,tidak berunsur depresi
tolong twitter suka asa aneh suka,tidak berunsur depresi
astaga gak karakter gak nama gka,tidak berunsur depresi
suruh ngapain pas kerja sosial tangkap rombong orang tua udah,tidak berunsur depresi
bahagia mudah ga kaya marah marah masak indomie tambah telur makan nikmat anjing,tidak berunsur depresi
emosi kepala batu gengsi parah posesif bossy gamau tinggal marah rem gampang singgung cemburu,tidak berunsur depresi
ga kali kompak irama nada dang ketua dpr jiwa dang partai,tidak berunsur depresi
panik putus gesa gesa cerita,tidak berunsur depresi
aduh ide mana lupa wajib arang kolaborasi orang tolong ngetik ujung,tidak berunsur depresi
takut ngebiarin adik cewe pergi jalan depan rumah doang,tidak berunsur depresi
cari mana bentar ijin mama lelah,tidak berunsur depresi
jajan enak allah alhamdullilah,tidak berunsur depresi
dua cari anggota rumah singgah coba bayangin kelana gak enak ayo utama bagi,tidak berunsur depresi
jalan pulang nyetir mobil nemu goyang persis pdahal belah ga goyang,tidak berunsur depresi
capai batas serah kang,tidak berunsur depresi
sendiri ngerjain kerja restoran gak pergi,tidak berunsur depresi
henti kerja kapal pesiar keren mulut kerja suruh bersih kamar kapal,tidak berunsur depresi
siang siang liat manis gak biar sempat lihat,tidak berunsur depresi
kasih pacar ambil boba dibeliin ayah kulkas bilangin mama ketawa lihat anak kecil imut,tidak berunsur depresi
udah gak hitung kali ampun candu sepi besar besar kamar geser halaman,tidak berunsur depresi
tolong gak kaya tanggapin tolong,tidak berunsur depresi
motor liat orang cium,tidak berunsur depresi
phobia gelap takut ruang gelap gelap takut langit gelap takut muka gelap,tidak berunsur depresi
bos nyuruh kerja rumah mulu kasi liat kantor cewek,tidak berunsur depresi
kereta gak orang kanan kiri dengar lagu bikin sedih,tidak berunsur depresi
mama nelpon bilang kucing kaya ngambek abis tinggal rumah heboh guling bolak nyakar kursi anak ngasih cucu nitipin kucing maaf mama moga tinggal,tidak berunsur depresi
kepung kaya digodain anak ngomongin nikah makas saran pikir liat,tidak berunsur depresi
jadi saking lelah ngejawab pasien enak jidat pasien tanya aneh sembarang sadar malu,tidak berunsur depresi
bilang main nyari alam ayo bareng,tidak berunsur depresi
tujuh malam rumah tonton film sedia televisi sadar hubung kali kali tanya nada malas telepon,tidak berunsur depresi
sholat rumah kayak setan,tidak berunsur depresi
kamar doang tamu orang rumah ngajak ngobrol rumah,tidak berunsur depresi
tweet lucu ngapain nyelip nak mama peluk,tidak berunsur depresi
cewe kaya aneh restoran main masuk masuk gak ditanyain kaya gin layan,tidak berunsur depresi
tengkar pasang kasih rukun,tidak berunsur depresi
anak nonton drama ga sadar lagu kaget pas dengerin lagu nyari kaget sisi gin tau lagu nada kuat keren,tidak berunsur depresi
buka tutup botol tumpahin lantai habis empat ngakak dapur,tidak berunsur depresi
lelah lelah hidup berat ga tuhan nyerah teman,tidak berunsur depresi
ngakak bayangin nontonnya rame rame asrama mana inti gak otomatis diketawain nonton bareng,tidak berunsur depresi
mall kali main suka mana gak main,tidak berunsur depresi
galau jalan jalan engga takut rumah,tidak berunsur depresi
bocorin tolong malam dugem kasi sepupu rumah dua kucing doang,tidak berunsur depresi
suruh marah marah asli ga enak kerja rumah enak dikerjain rumah,tidak berunsur depresi
cinta sisa kecewa,tidak berunsur depresi
posisi bener orangtua henti dukung tau kecewa kecewa dukung doa percaya raih raih,tidak berunsur depresi
hilang hilang kebahagiannya ikhlas,tidak berunsur depresi
gak teman udah masuk tahap kangen kangen sedih bawa kemarin kuat sok kuat udah ga disenyumin bener bener hilang semangat,tidak berunsur depresi
hilang rekan kerja abang gak,tidak berunsur depresi
pergi sedih hilang diri lupa,tidak berunsur depresi
sedih dikit hilang orang suka bikin asa laku konyol yaudahlah orang pergi,tidak berunsur depresi
udah numpang hidup doang gapernah ngasih nafkah abis selingkuh bilang ngelakuin udah gila pikir cowo gatau untung ga arak gara gara mukulin saudara,tidak berunsur depresi
harap baik harap bahagia ngerasa peduli inget,tidak berunsur depresi
pagi habis jemput mama pasar mampir beli bahan dapur toko anak bilang sedekah miris anak datatng ga orangtuanya,tidak berunsur depresi
mama pulang ma anak hujan deres allah ma takut mati lampu,tidak berunsur depresi
liat kasi hidup segitu kenang harga,tidak berunsur depresi
minggu sial sepeda pulang jalan sepeda roda rusak copot patah cari bengkel dekat jumpa paksa tuntun sepeda kilo meter temu bengkel bongkar roda ganti alat dompet kering,tidak berunsur depresi
yah besok kakak kampus ngapain temu kaprodi teman gak ayah gapapa kakak motor ayah naek gojek ayah pulang gojek gak,tidak berunsur depresi
makan lauk meja gak enak,tidak berunsur depresi
juang logis juang,tidak berunsur depresi
restoran motor kali gagal tinggal gas susah halo gak kangen hujan ujung,tidak berunsur depresi
cerita jalan lanjut barusan stasiun ketemu cewe samping ajakin ngomong tengah jomblo diam senyum doang ditambahin pantes liat hawa jomblo,tidak berunsur depresi
covid cepat kelar yuk bebas jalan jalan kayak,tidak berunsur depresi
nongkrong teman nyaman rumah keluarga jalan jalan,tidak berunsur depresi
hari kamar jalan senang hari main orang senang hidup imbang,tidak berunsur depresi
jujur trauma ambil darah pas covid kali jam lemes kayak pingsan dasar geli duluan liat jarum,tidak berunsur depresi
bela bain gak pergi mama biar jalan gak rumah kesal sedih,tidak berunsur depresi
maksud puasin ngebahagiaan mikirin ngelakuin butuh udah nikah hidup udah udah ubah pasang anak keluarga mertua orangtua,tidak berunsur depresi
penuh enak teman milih kursi artis alias pintu sejuk angin beda gak enak geser kaki dikit orang,tidak berunsur depresi
kadang susah tanin orang kadang ngerasa kaya,tidak berunsur depresi
mending cari kelompok henti hina,tidak berunsur depresi
orang tua nggak paham selesai orang selesai biar,tidak berunsur depresi
gak kecewa teman khawatir anak gak kasih kabar suruh keluh kesah gamau ngomong tau lengket anak beda sekolah anak ubah,tidak berunsur depresi
kecewa teman asa gak guna teman pamit pergi kerja diam ngucapin selamat tinggal udah gak nganggap khawatir sukses,tidak berunsur depresi
ngerasa gagal teman saat hilang orang hidup gabisa nemuin samping luk hibur maaf,tidak berunsur depresi
terimakasih kuat tahan patah hati sakit hilang pacar gebetan hilang suasana keluarga hangat sakit apa,tidak berunsur depresi
jalan dramatis hilang akal sehat emosi stabil posesif egois milik perempuan utuh niat tulus cinta niat sungguh sayang,tidak berunsur depresi
coba obrolin sikap kaya alas bebasin ikut biar kaya ga ngerasa,tidak berunsur depresi
cermin pisau jarum sisi lawan sepi usaha hindar sepi,tidak berunsur depresi
rumah bosan ayah mama berangkat jam pulang jam adik adik mama toko rumah sepi ayo kucing dateng rumah teman,tidak berunsur depresi
pacar pacar maen kota diam rumah teman suka samperin kota suka ga dibolehin,tidak berunsur depresi
sakit sahabat sahabat tuhan,tidak berunsur depresi
anggap dunia tuhan lindung awas,tidak berunsur depresi
coba teladan gelap jalan ungkap gerak,tidak berunsur depresi
dengar suara air netes nyebelin rumah alias takut siang,tidak berunsur depresi
jalan jalan tempat makan makan beli beli liat udara seger liat kota senang senang pokok,tidak berunsur depresi
semangat semangat matahari sinar,tidak berunsur depresi
sumpah lagu enak dengerin rumah,tidak berunsur depresi
tinggal rumah pergi mama kakak kagak bilang,tidak berunsur depresi
putus putus,tidak berunsur depresi
kirimin mie ayam tetangga enak malas masak,tidak berunsur depresi
sedih berani rame rame gak berani ngelawan henti cmn org gak kuat sadar sedih liat,tidak berunsur depresi
orang ngerawat kucing keluarga sibuk bikin kewalahan,tidak berunsur depresi
sedih jalan nang abis curhat telepati gila akibat ramai putar lagu sedih abis pas begini,tidak berunsur depresi
cewe duduk anggap aman ga berani gak buat jahat orang berani hampir ngajakin ngobrol nawarin dagang langsung duduk belah aman gatau psikopat mana,tidak berunsur depresi
gak aduh ngomongin tunjang raya alhamdulilah dapat lumayan kalah saudara saudara kasih tunjang kah,tidak berunsur depresi
dasar rumah tamu keluarga ayah takut ga,tidak berunsur depresi
kangen belanja bahan makan restoran muter muter mikir masak cari resep akun,tidak berunsur depresi
gak situ malam dapur liat duduk halaman dapur bikin minum bawa samperin nyapa gin halo gak ketemu,tidak berunsur depresi
cerita takut gak gigit sumpah ngomong udah cerita bukti cerita beban gak pindah bagi tanggung,tidak berunsur depresi
skrg udah makan kucing guie malas tau kucing udah kasih makan abis ajarin bersihin kotor biar kerja mudah,tidak berunsur depresi
duga alas ekonomi bayi tega tinggal pinggir jalan,tidak berunsur depresi
pantes malam sesak nafas jantung debar kencang habis minum kopi botol habis tambah nang untung ga,tidak berunsur depresi
tema orang area larang rokok kosong suara gema telpon orang mana suara gema gema,tidak berunsur depresi
abis motor celaka temu online ngeluh twitter ga bakat motor,tidak berunsur depresi
sekolah renang ketemu orang ajak main bareng kenal masuk sekolah pas orientasi kelas bang ga nyangka teman gak deket,tidak berunsur depresi
harap kecewa hasil balik lemah mental,tidak berunsur depresi
balik mimpi indah pas bangun mimpi kecewa,tidak berunsur depresi
kecewa,tidak berunsur depresi
hilang senyum hidup cekik,tidak berunsur depresi
hilang milik orang gila,tidak berunsur depresi
sadar hilang bangun tidur rasa sepi,tidak berunsur depresi
hilang kecuali temu obat sakit,tidak berunsur depresi
tinggal kenang alami hilang hobi bener bener suka suruh main bola udah hilang sentuh kontroll bawa oper tembak posisi udah hilang hilang,tidak berunsur depresi
paksa kerja keras sembari bakar lelah,tidak berunsur depresi
sumpah sampah beneran gak gerak bantuin skenario hitung udah projek kayak cari projek tambah anggota bantu,tidak berunsur depresi
tau ga gau ga ngerasa sedih sedih udahlah nganggur ga produktif,tidak berunsur depresi
curhat dikenalin teman nama pas wisuda pindah grup tinggal gagal lang awas gak teman ngebantuin,tidak berunsur depresi
pisah putus asa tetap lang dua tuju teman batas doa,tidak berunsur depresi
alas malas keluarga gatau ngomong,tidak berunsur depresi
asli bioskop teman kelas rumah jakarta kesana,tidak berunsur depresi
rindu sesuai harap sakit,tidak berunsur depresi
valid juta percaya erti ekspresi gaya bicara hak orang dominan taruh usaha utama turut,tidak berunsur depresi
halo pingin cerita gatau cerita siapa ga cerita cerita markas curhat luapin sana tanin baik coba,tidak berunsur depresi
makasih ngajakin canda gak ngerasa teman makasih teman suka bantu makasih,tidak berunsur depresi
nonton film jujur pandemi gin rem nonton bioskop,tidak berunsur depresi
diet tolol bulimia pingsan mulu opname rantau sadar jarum timbang tunjuk angka nilai,tidak berunsur depresi
tengkar wajar pasang tengkar sendiri muncul,tidak berunsur depresi
senang kerja sedih kota bareng pisah nang anjir,tidak berunsur depresi
rumah abang gak anggap,tidak berunsur depresi
golong anak mending tinggal rumah acara keluarga,tidak berunsur depresi
lelah kecewa udah gimanain jalan moga jalan keluar,tidak berunsur depresi
hilang pahit,tidak berunsur depresi
hancur telfon mama rumah nggak kakak bilang mama ikhlas kagum mama hilang anak,tidak berunsur depresi
sakit patah hati hilang orang sayang pergi,tidak berunsur depresi
kadang mikir hidup rumah kompleknya kagak ribet kagak nyebelin hidup keluarga ngekos bikin mental hati gak sehat hidup ribet pulang tetangga hantu nyari komplek tetangga ga ribet,tidak berunsur depresi
gantung cowo teman mayoritas cowo aman diperlakuin ratu dispesialin jagain pastiin aman pastiin gak rumah selamat gangguin,tidak berunsur depresi
bangga alami jenis sakit keluarga percaya patah hati ketidakamanan depresi hebat hadap mah serah,tidak berunsur depresi
mana nasabah politisasi lobi dpr dukung jaksa tri uang menkopolhukam strategi lindung salah perintah ajak nasabah duduk bareng perdata,tidak berunsur depresi
gila teman main hilang sibuk ngurusin rumah tangga kadang pikir main sedih ide jalan bebas sedih udah kali main jalan teman main,tidak berunsur depresi
salah kirim uang juta orang ga kenal mediasi bank rekening beku bank baik antri bank balikin duit orang sibuk ban mobil pecah tol hujan taksi behrenti hujan ganti ban,tidak berunsur depresi
ngapa ngapain sadar orang nyaman kesekamuian mereke kayak oknum teman ajar mall,tidak berunsur depresi
dar salam obrol tuan rumah ijin duduk kejap arah samping kanan susah payah jalan dekat,tidak berunsur depresi
laluin takut,tidak berunsur depresi
kalimat ajaib lupa jelas lega hati luka janji lanjur patah tinggal tentu tinggal jalan,tidak berunsur depresi
hubung teman keluarga kali butuh bantu sayang,tidak berunsur depresi
putus putus pelihara hubung sehat jaga,tidak berunsur depresi
gak gak ngerasain puruk gak ngerasa gak puruk,tidak berunsur depresi
sendiri dengerin musik baca buku nikmat alam,tidak berunsur depresi
pantes teman ngomong isolasi gak enak kamar kaya nyepi kamar mulu kaga,tidak berunsur depresi
kayak pas gabung dunia pas gelap dunia,tidak berunsur depresi
kunci hidup bahagia nikmat apa alami gabut nikmat kegabutan sibuk nikmat bareng orang nikmat,tidak berunsur depresi
teman orang kerja nilai orang sudut hidup ngerti ngapain orang udah benci tetep nilai,tidak berunsur depresi
peduli betapa kuat diri atas gagal,tidak berunsur depresi
suruh ngerangkum materi ancam nama gabakal tulis ga ngerjain baik presentasi gak tidur gara gara ngumpulin hari tenggat terima kasih udah ngingetin sadar,tidak berunsur depresi
berangkat rumah sakit ngantuk lemes malam gak tidur kabar papa udah pasang ventilator hujan deres takut isolasi mandiri,tidak berunsur depresi
jujur bingung guru bp kaya benci baget sepatu putih keren bu,tidak berunsur depresi
kecewa penuh derai air mata jujur pendam hati kubur lidah kaku dendam benci,tidak berunsur depresi
wanita sulit cari benci orang sayang,tidak berunsur depresi
tidur pikir engga benci mantan selau jadi luar kendali,tidak berunsur depresi
ga benci orang kali kali bawa mimpi astagfirullah ingin udah iklas biar tenang pikir hati,tidak berunsur depresi
benci sewajarna benci hidup,tidak berunsur depresi
benci biar benci suka biar suka barang tabur angin tuai badai ikhlas,tidak berunsur depresi
tulus cinta kadang benci hadir dada lewat hari rindu,tidak berunsur depresi
orang dasar udah benci nutupin sok kayak liat kenal ga bulan kocak udah tau sifat,tidak berunsur depresi
gerombol kardus maki ngamuk ga laden ngomong apa benci baik apa benci,tidak berunsur depresi
susah orang benci diri sakit,tidak berunsur depresi
kangen bilang marah ungkapin benci kasi ajah baygon,tidak berunsur depresi
sebenernya ga benci kesel gak sadar ngetik kaya,tidak berunsur depresi
benci,tidak berunsur depresi
benci caci dewasa,tidak berunsur depresi
benci orang berisik ngga kerja ngga papa begadang bangun jam pusing ngga tidur,tidak berunsur depresi
suka benci durian kena karma lbwmovtk,tidak berunsur depresi
benci orang marah gaada saring,tidak berunsur depresi
sumpah benci cicak,tidak berunsur depresi
benci tunggu tunggu sama tunggu sama,tidak berunsur depresi
benci udah tidur cepat bangun jemput emak ujung gabisa tidur alhasil jam enam pagi tidur,tidak berunsur depresi
benci orang suka pamer sertifikat kayak hebat,tidak berunsur depresi
benci suka orang,tidak berunsur depresi
kadang ngerasa benci doi alesan ngga tau benci udah besok bangun tidur udah,tidak berunsur depresi
benci mens mood gak stabil gin,tidak berunsur depresi
teman benci orang benci gak orang so berani kadang rispek teman pihak tau salah rtxvcss,tidak berunsur depresi
indihome jam lot benci,tidak berunsur depresi
benci ga,tidak berunsur depresi
tua bener hubung ga cari musuh benci orang,tidak berunsur depresi
benci nahan laper jam gin,tidak berunsur depresi
cewek benci digantungin dikasarin diselingkuhin tuduh nggak lakuin dimarahin didiemin,tidak berunsur depresi
benci cowo model gin kondisi beneran gaak kerja oke ga males buang bodo cinta mon maap emosi,tidak berunsur depresi
suka minum dingin benci cowo dingin,tidak berunsur depresi
pikir pikir benci jepang keji pas jaman jajah wanita anak anak dijadiin budak seks bunuh ga maaf,tidak berunsur depresi
benci jepang jajah benci jepang jajah jepang keji ga manusiawi jepang ga maaf resmi gak tau main lupa anak cucu ga tau,tidak berunsur depresi
benci mantan ngga damai,tidak berunsur depresi
asli benci udah tidur enak bangun kebelet boker,tidak berunsur depresi
benci arab pakai sebut almarhum almarhum asal bahasa arab serap bahasa indonesia gak pakai sebut mendiang orang hipokrit alit,tidak berunsur depresi
benci suka orang,tidak berunsur depresi
layar ngeblank item kagak pencet benci,tidak berunsur depresi
buka mata hati biar tutup benci tumbuh kasih sayang hati rusak,tidak berunsur depresi
cowok ikut benci perintah,tidak berunsur depresi
kadang bingung orang benci orang alas tau seluk beluk orang tersebbut tau aktivitas ngatain ngomongin orang kayak buang buang,tidak berunsur depresi
suka minum dingin benci cuaca dingin alah mau,tidak berunsur depresi
benci orang gampang tinggal pergi udah beres benci pergi mana,tidak berunsur depresi
benci tugas video bayangin jam sore selesai ambil vidio alias seret tenggorok,tidak berunsur depresi
orang minat benci caci,tidak berunsur depresi
tipe orang udah suka orang suka benci benci,tidak berunsur depresi
benci masak bawang potong gede telor dadar pake bawang ga suka,tidak berunsur depresi
salahin ujung benci,tidak berunsur depresi
benci suka orang,tidak berunsur depresi
gatau benci gasuka wajar kecewa loh,tidak berunsur depresi
benci pas bangun subuh,tidak berunsur depresi
wajar gas ngerasa benci orang orang udah sakit ngebuat hidup susah,tidak berunsur depresi
sabar sabar benci sabar suka,tidak berunsur depresi
pandang salah tampil karakteristik benci wanita senyum harap tingkat mustahil,tidak berunsur depresi
orang sayang orang benci,tidak berunsur depresi
kangen memporak porandakan kasur hotel subuh paksu pandemi kelar terbang khusus makassar semarang jogja benci corona,tidak berunsur depresi
benci bohong turut apa bohong gede bikin arah selingkuh,tidak berunsur depresi
maklum jokowi basmi wabah wabah korupsi wabah ceramah abal wabah virus covid wabah wabah ancam benci,tidak berunsur depresi
faktor kerja bikin benci nikmat tiktok terimakasih tuhan,tidak berunsur depresi
jawab benci benci tutup ketawa senang benci capek,tidak berunsur depresi
benci percaya anggap lelucon,tidak berunsur depresi
cinta benci,tidak berunsur depresi
jadi hilang benci,tidak berunsur depresi
orang gak bilang munafik bohong allah benci,tidak berunsur depresi
selamat nikmat putus gambar benci orang pasang benci dengar lagu cinta benci lokasi kenang benar benar ajar harga hidup,tidak berunsur depresi
jalan hidup benci hati sakit diri benci,tidak berunsur depresi
benci foto bener kena matahari,tidak berunsur depresi
ngobrol kenal tau tumbuh senang ambil gabakal benci lalu benci,tidak berunsur depresi
benci duit kampret,tidak berunsur depresi
benci programming main game programming hero bercelaru hidup,tidak berunsur depresi
saat sikap dijalanin orang ga sesuai ekspetasi langsung benci ngapain coba,tidak berunsur depresi
ngga benci orang tua gamau kayak,tidak berunsur depresi
bohong benci dibohongin tau ngga,tidak berunsur depresi
benci suka orang,tidak berunsur depresi
benci kucing nama kaya bajing,tidak berunsur depresi
sabar pada lelah benci hasil buat pikir harga,tidak berunsur depresi
benci sakit otak situ,tidak berunsur depresi
benci jalan ajing,tidak berunsur depresi
bulan hilang kontal inget nanya doi gin kmu orang gampang benci orang pikir benci ga sebab benci inget gin gaboleh ngomong,tidak berunsur depresi
bahagia sederhana bagi bebas hati benci mudah maaf,tidak berunsur depresi
benci cinta merah pink arti beda,tidak berunsur depresi
bayang benci benci beda gaji juta,tidak berunsur depresi
kamar gaada ngerokok benci asep rokok anjing benci bau ga ilang ilang tai,tidak berunsur depresi
orang perihal benci cinta wajar balik cinta benci benci sikap orang,tidak berunsur depresi
